CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wrSpeed,Disk_wraccessVolume,Disk_wraccessSpeed,Load_1min,Load_5min,Load_15min,Mem_Avail%,Mem_Avail,Mem_freePhysical%,Mem_freePhysical,Mem_freeSwap%,Mem_freeSwap,Mem_freeTotal%,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_totalVolume,Traffic_totalSpeed,Traffic_inVolume,Traffic_inSpeed,Traffic_outVolume,Traffic_outSpeed,Class
2.8333,3.3333,4.3333,2,1.5,82739.2,1379.6765,9.8,0.1634,0.0067,0.115,0.2183,86,7043366912,95,7787681792,100,104853504,95,7892535296,13.2,8.1667,20,0,1856151.666,30941.0179,924274.857,15407.1488,931876.8091,15533.8691,TVM
3.6667,3.3333,3.1667,3.5,3.1667,101580.8,1693.8603,12.2,0.2034,0,0.0917,0.2,86,7044542464,95,7788914005,100,104853504,95,7893767509,12.3,7.8333,21.8333,0,1826739.097,30471.0442,909256.7207,15166.9178,917482.3764,15304.1264,TVM
4.6667,4.8333,4,7.1667,3,226267.3912,3773.0097,26.2274,0.4373,0.09,0.092,0.19,86,7044384768,95,7788789760,100,104853504,95,7893643264,614.36,405,1128.4,0,2725038.571,45440.0295,1935681.676,32277.5,789356.8951,13162.5295,TVMwL
13.5,13.1667,8.3333,18.5,14.5,301606.1281,5030.1222,34.0895,0.5685,0.4771,0.2014,0.2186,86,7042750464,95,7787255808,100,104853504,95,7892109312,1524.8333,1024.1667,2245.8333,0,3524062.94,58773.5647,2774124.42,46266.2512,749938.5194,12507.3135,TVMwL
13.6667,12.8333,15.3333,14.3333,11.5,308499.7432,5144.2345,33.5449,0.5594,0.6433,0.305,0.2567,86,7042449408,95,7787031211,100,104853504,95,7891884715,1390.6333,851.1667,1954,0,3477134.059,57981.2249,2727013.234,45472.9571,750120.8249,12508.2679,TVMwL
13.1667,13.8333,11.1667,12.6667,15,284879.8687,4750.373,33.4099,0.5571,0.9017,0.4383,0.3067,86,7042019328,95,7786693973,100,104853504,95,7891547477,1255.6333,571.6667,2309.8333,0,3516384.587,58635.7276,2769621.291,46183.4466,746763.2954,12452.2811,TVMwL
12.6667,16,15,7.3333,12.5,320861.4553,5349.4741,36.5407,0.6092,1.008,0.546,0.35,86,7041804288,95,7786559488,100,104853504,95,7891412992,1109.4667,688.3333,1690,0,3364202.73,56098.0945,2648462.185,44163.118,715740.5447,11934.9766,TVMwL
12.5,17.3333,10.3333,10.1667,12.8333,492995.6574,8217.964,65.6412,1.0942,0.925,0.605,0.3817,86,7041546240,95,7786450944,100,104853504,95,7891304448,1415.4,980.8333,1950.8333,0,3524970.708,58778.9012,2766425.834,46130.1623,758544.8737,12648.7389,TVMwL
13.3333,14.8333,12.6667,14.3333,11,265953.6422,4434.7781,32.2925,0.5385,0.8917,0.6517,0.415,86,7041288192,95,7786258432,100,104853504,95,7891111936,1607.3,1027.3333,2572.8333,0,3362624.049,56062.4216,2660622.216,44358.4898,702001.8334,11703.9319,TVMwL
14,14,14.6667,13.8333,14.3333,303616.9827,5062.8145,33.7877,0.5634,0.83,0.6857,0.4443,86,7041159168,95,7786234539,100,104853504,95,7891088043,1690.2,786,2787.75,0,3150047.838,52544.5844,2553571.281,42595.0172,596476.557,9949.5673,TVMwL
