CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
1.0,1.0,1.0,1.0,1.0,2024344.883,34.2012,0.0467,0.0117,0.0283,1800505344.0,7850612736.0,8.8333,7.6667,11.6667,0.0,923540.3766,931932.9132,TWM
13.6667,18.0,15.6667,10.0,10.5,428581.382,42.946,0.7367,0.6383,0.4817,6911461376.0,7857168384.0,423.7714,7.4286,1770.5714,0.0,2769513.216,704759.1889,TVMwL
5.0,10.0,2.0,4.1667,3.6667,16384.0,3.0,0.1367,0.135,0.07,7117135872.0,7931688277.0,703.3333,139.8333,1627.6667,0.0,2741529.672,786061.4172,NTSwL
1.0,1.0,1.0,1.0,1.0,15149.8699,2.6987,0.0,0.0,0.03,91246592.0,7851675648.0,18.3667,8.1667,30.3333,0.0,912113.0,921514.0,NTS
2.1667,3.0,1.1667,1.0,4.8333,85606.4,12.3,0.0117,0.035,0.1083,6981677056.0,7880437760.0,8.2,7.1667,11.1667,0.0,915519.0838,921459.064,TVM
2.3333,1.6667,1.8333,1.3333,5.3333,138854.4,18.2,0.37,0.2067,0.2033,6909331456.0,7856567637.0,9.8667,7.6667,15.0,0.0,923686.4234,931916.0,TVM
1.0,1.0,1.0,1.0,1.0,2136553.962,35.4004,0.0,0.01,0.06,6380226560.0,7855011157.0,8.4667,7.3333,10.3333,0.0,918919.3213,926727.8719,TWM
1.0,1.0,1.0,1.0,1.0,2015232.0,33.4,0.0,0.0,0.02,560939008.0,7852087979.0,8.7,7.5,11.8333,0.0,912689.6147,921660.7108,TWM
26.0,1.0,100.0,1.0,1.0,16384.0,3.0,1.0,1.0,1.0,69859328.0,1544652800.0,8.8333,8.0,10.0,0.0,912843.3473,921630.3664,WSK
1.1667,1.0,1.1667,1.0,2.0,2132785.97,33.0,0.0583,0.15,0.1917,72929280.0,7807120043.0,10.9333,7.8333,19.1667,0.0,912895.6,921656.8,TSK
1.0,1.0,1.0,1.0,1.3333,86835.2,17.2,0.055,0.0567,0.1067,7085303808.0,7923247104.0,10.1333,7.6667,14.0,0.0,918585.709,922622.9216,NTS
13.5,18.6667,8.0,13.3333,13.5,555363.9966,51.197,0.5883,0.4767,0.3133,6976944811.0,7877010091.0,1010.6571,395.5714,2032.5714,0.0,2835071.915,761644.9014,TVMwL
1.0,1.0,1.0,1.0,0.3333,16384.0,3.0,0.0,0.0,0.01,6933696512.0,7876082347.0,23.5667,8.6667,48.0,0.0,920592.3004,929654.025,NTS
